date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:27	21157/21157	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2009:14:28%20GMT	https://preview.colorlib.com/theme/rezume/	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/index.html	(from )
13:14:28	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
13:14:28	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2020%20Sep%202022%2009:14:28%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/hp/Desktop/4/4/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/rezume/)
13:14:28	143086/143086	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Sep%202022%2009:14:28%20GMT	https://preview.colorlib.com/theme/rezume/A.css,,_animate.css+css,,_flexslider.css+fonts,,_icomoon,,_style.css+css,,_bootstrap.css+css,,_style.css,Mcc.HqIwWfJCiR.css.pagespeed.cf.bRwe0nwT8S.css	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/A.css,,_animate.css+css,,_flexslider.css+fonts,,_icomoon,,_style.css+css,,_bootstrap.css+css,,_style.css,Mcc.HqIwWfJCiR.css.pagespeed.cf.bRwe0nwT8S.css	(from https://preview.colorlib.com/theme/rezume/)
13:14:29	20686/20686	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2003:58:19%20GMT	https://preview.colorlib.com/theme/rezume/images/xp1.jpg.pagespeed.ic.IjlLDN7rAK.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xp1.jpg.pagespeed.ic.IjlLDN7rAK.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:29	431206/431206	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2003:58:17%20GMT	https://preview.colorlib.com/theme/rezume/images/ximage_1.jpg.pagespeed.ic.I4h5pDwmd7.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/ximage_1.jpg.pagespeed.ic.I4h5pDwmd7.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:29	20686/20686	---M--	200	added ('OK')	image/jpeg	etag:%2250ce-5a9a9c4bf6cc0%22	https://preview.colorlib.com/theme/rezume/images/p1.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/p1.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:29	2126/2126	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2009:14:29%20GMT	https://preview.colorlib.com/theme/rezume/images/preview.png	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/preview.png	(from https://preview.colorlib.com/theme/rezume/)
13:14:30	18178/18178	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2003:58:19%20GMT	https://preview.colorlib.com/theme/rezume/images/xp2.jpg.pagespeed.ic.Q3vhtvXPF4.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/xp2.jpg.pagespeed.ic.Q3vhtvXPF4.jpg	(from https://preview.colorlib.com/theme/rezume/)
13:14:30	18178/18178	---M--	200	added ('OK')	image/jpeg	etag:%224702-5a9a9c4bf6cc0%22	https://preview.colorlib.com/theme/rezume/images/p2.jpg	C:/Users/hp/Desktop/4/4/preview.colorlib.com/theme/rezume/images/p2.jpg	(from https://preview.colorlib.com/theme/rezume/)
